索引,股票名称,股票代码,当前价格,涨幅,涨跌额度,成交量（手）,成交额,振幅
4855,宝色股份,300402,16.67,-2.91%,-0.5,8.92万,1.51亿,5.36%
4856,翔楼新材,301160,102.59,-2.91%,-3.08,1.50万,1.55亿,4.20%
4857,中大力德,002896,86.52,-2.92%,-2.6,5.07万,4.42亿,3.70%
4858,浩洋股份,300833,31.92,-2.92%,-0.96,7055,2266.56万,3.50%
4859,建科院,300675,13.61,-2.92%,-0.41,2.41万,3287.85万,3.07%
4860,阳光乳业,001318,12.94,-2.93%,-0.39,5.33万,6924.76万,3.08%
4861,中旗股份,300575,5.64,-2.93%,-0.17,8.75万,4920.54万,4.30%
4862,丰原药业,000153,5.64,-2.93%,-0.17,7.04万,3982.94万,3.79%
4863,安达智能,688125,30.85,-2.93%,-0.93,5145,1592.89万,3.30%
4864,江山欧派,603208,14.26,-2.93%,-0.43,1.37万,1960.06万,3.54%
4865,泓淋电力,301439,14.26,-2.93%,-0.43,4.21万,6044.30万,2.93%
4866,宏工科技,301662,53.39,-2.93%,-1.61,1.46万,7862.41万,3.87%
4867,百花医药,600721,6.63,-2.93%,-0.2,16.61万,1.10亿,4.39%
4868,海洋王,002724,5.62,-2.94%,-0.17,10.11万,5722.34万,3.63%
4869,兴民智通,002355,5.62,-2.94%,-0.17,7.07万,3990.62万,3.11%
4870,古越龙山,600059,8.92,-2.94%,-0.27,16.54万,1.49亿,4.03%
4871,金牛化工,600722,4.95,-2.94%,-0.15,5.16万,2569.66万,3.73%
4872,山科智能,300897,25.73,-2.94%,-0.78,9179,2378.45万,3.81%
4873,心脉医疗,688016,83.11,-2.94%,-2.52,1.19万,9996.58万,2.90%
4874,杭齿前进,601177,18.46,-2.94%,-0.56,20.63万,3.82亿,3.42%
4875,帅丰电器,605336,17.78,-2.95%,-0.54,1.27万,2266.46万,4.31%
4876,居然智家,000785,3.29,-2.95%,-0.1,51.82万,1.72亿,3.54%
4877,永利股份,300230,4.27,-2.95%,-0.13,21.44万,9174.98万,4.77%
4878,中交设计,600720,7.88,-2.96%,-0.24,8.84万,6998.66万,2.71%
4879,安泰集团,600408,1.64,-2.96%,-0.05,14.66万,2416.72万,4.73%
4880,香农芯创,300475,30.16,-2.96%,-0.92,15.47万,4.71亿,6.05%
4881,赛象科技,002337,4.91,-2.96%,-0.15,6.42万,3169.16万,3.16%
4882,鸣志电器,603728,62.19,-2.96%,-1.9,5.24万,3.28亿,3.42%
4883,创业慧康,300451,5.23,-2.97%,-0.16,42.52万,2.24亿,3.53%
4884,宝色股份,300402,16.66,-2.97%,-0.51,8.93万,1.51亿,5.36%
4885,嘉麟杰,002486,1.96,-2.97%,-0.06,9.46万,1870.45万,3.47%
4886,儒竞科技,301525,74.14,-2.97%,-2.27,8922,6726.14万,4.16%
4887,智飞生物,300122,19.26,-2.97%,-0.59,15.69万,3.04亿,3.07%
4888,西藏城投,600773,8.79,-2.98%,-0.27,7.20万,6373.05万,3.75%
4889,湖南投资,000548,4.88,-2.98%,-0.15,4.60万,2265.06万,3.58%
4890,雪迪龙,002658,6.83,-2.98%,-0.21,6.85万,4703.48万,4.12%
4891,日辰股份,603755,26.34,-2.98%,-0.81,1.05万,2764.66万,5.45%
4892,福达合金,603045,14.61,-2.99%,-0.45,2.15万,3154.95万,3.32%
4893,同辉信息,430090,5.84,-2.99%,-0.18,4.77万,2769.68万,2.66%
4894,华大九天,301269,117.75,-2.99%,-3.63,2.56万,3.02亿,3.91%
4895,常青股份,603768,11.35,-2.99%,-0.35,2.80万,3213.36万,7.78%
4896,浙江永强,002489,3.24,-2.99%,-0.1,21.77万,7104.10万,3.59%
4897,安乃达,603350,31.75,-2.99%,-0.98,7258,2326.12万,4.00%
4898,北巴传媒,600386,4.21,-3.00%,-0.13,7.92万,3370.31万,3.23%
4899,赣能股份,000899,10.36,-3.00%,-0.32,30.30万,3.16亿,5.15%
4900,森马服饰,002563,6.46,-3.00%,-0.2,9.89万,6484.26万,2.85%
4901,赛升药业,300485,8.02,-3.02%,-0.25,9.91万,7902.44万,4.35%
4902,乐歌股份,300729,13.47,-3.02%,-0.42,5.40万,7278.25万,3.02%
4903,南极电商,002127,4.49,-3.02%,-0.14,35.10万,1.59亿,3.24%
4904,承德露露,000848,9.62,-3.02%,-0.3,12.05万,1.17亿,4.44%
4905,宁波中百,600857,9.29,-3.03%,-0.29,6.19万,5822.04万,4.28%
4906,天润乳业,600419,10.57,-3.03%,-0.33,3.59万,3823.81万,2.57%
4907,国联水产,300094,3.2,-3.03%,-0.1,19.97万,6424.00万,2.73%
4908,合众思壮,002383,8.63,-3.03%,-0.27,22.96万,1.99亿,2.47%
4909,ST数源,000909,5.75,-3.04%,-0.18,3.42万,1983.22万,3.20%
4910,丰立智能,301368,66.42,-3.04%,-2.08,2.86万,1.92亿,4.06%
4911,天地源,600665,2.87,-3.04%,-0.09,12.42万,3579.34万,4.05%
4912,锦好医疗,872925,12.75,-3.04%,-0.4,9010,1142.96万,4.87%
4913,玲珑轮胎,601966,14.32,-3.05%,-0.45,23.20万,3.35亿,3.45%
4914,杭齿前进,601177,18.44,-3.05%,-0.58,20.66万,3.83亿,3.42%
4915,渤海租赁,000415,2.85,-3.06%,-0.09,56.64万,1.63亿,4.08%
4916,普莱柯,603566,13.28,-3.07%,-0.42,5.03万,6705.63万,1.97%
4917,倍益康,870199,23.7,-3.07%,-0.75,6310,1494.22万,4.34%
4918,长城电工,600192,6.32,-3.07%,-0.2,3.48万,2217.36万,3.53%
4919,三角轮胎,601163,13.58,-3.07%,-0.43,3.74万,5084.11万,2.86%
4920,美邦科技,832471,15.15,-3.07%,-0.48,1.83万,2730.53万,4.99%
4921,兔 宝 宝,002043,10.73,-3.07%,-0.34,6.78万,7305.62万,3.52%
4922,百花医药,600721,6.62,-3.07%,-0.21,16.61万,1.10亿,4.39%
4923,森鹰窗业,301227,16.39,-3.08%,-0.52,7672,1264.53万,4.14%
4924,高澜股份,300499,17.65,-3.08%,-0.56,12.96万,2.33亿,6.59%
4925,韩建河山,603616,3.15,-3.08%,-0.1,6.48万,2055.22万,3.69%
4926,ST金鸿,000669,1.89,-3.08%,-0.06,5.28万,1006.36万,3.59%
4927,中交设计,600720,7.87,-3.08%,-0.25,9.01万,7129.70万,2.71%
4928,科力股份,920088,24.2,-3.08%,-0.77,6367,1548.44万,3.80%
4929,恒立钻具,836942,16.95,-3.09%,-0.54,6188,1048.85万,6.06%
4930,香农芯创,300475,30.12,-3.09%,-0.96,15.48万,4.71亿,6.05%
4931,瑞康医药,002589,2.82,-3.09%,-0.09,16.71万,4753.10万,3.44%
4932,云内动力,000903,3.13,-3.10%,-0.1,30.18万,9452.86万,3.10%
4933,德尔玛,301332,9.7,-3.10%,-0.31,3.13万,3061.22万,3.60%
4934,海能达,002583,11.25,-3.10%,-0.36,54.76万,6.20亿,3.62%
4935,秦川机床,000837,11.87,-3.10%,-0.38,28.83万,3.44亿,3.59%
4936,新宏泰,603016,26.23,-3.10%,-0.84,1.22万,3213.11万,4.21%
4937,新大正,002968,9.36,-3.11%,-0.3,3.54万,3337.51万,4.24%
4938,倍益康,870199,23.69,-3.11%,-0.76,6312,1494.59万,4.34%
4939,顺博合金,002996,6.54,-3.11%,-0.21,16.23万,1.07亿,3.56%
4940,厦工股份,600815,2.49,-3.11%,-0.08,9.73万,2444.87万,3.50%
4941,金盾股份,300411,11.82,-3.11%,-0.38,8.86万,1.06亿,4.59%
4942,恒锋工具,300488,31.06,-3.12%,-1,2.18万,6841.43万,3.52%
4943,良品铺子,603719,12.1,-3.12%,-0.39,4.48万,5430.86万,4.00%
4944,睿能科技,603933,15.19,-3.13%,-0.49,3.37万,5096.85万,3.51%
4945,中储股份,600787,6.2,-3.13%,-0.2,44.88万,2.80亿,4.22%
4946,海联讯,300277,12.69,-3.13%,-0.41,9.10万,1.18亿,4.89%
4947,*ST汇科,300561,11.45,-3.13%,-0.37,16.96万,1.96亿,4.82%
4948,宋城演艺,300144,9.28,-3.13%,-0.3,36.38万,3.41亿,4.28%
4949,生物股份,600201,6.8,-3.13%,-0.22,11.05万,7594.11万,3.70%
4950,宁波能源,600982,4.94,-3.14%,-0.16,45.49万,2.26亿,5.10%
4951,西典新能,603312,38.9,-3.14%,-1.26,1.31万,5149.50万,4.46%
4952,皮阿诺,002853,13.87,-3.14%,-0.45,1.73万,2394.18万,4.75%
4953,创新医疗,002173,8.63,-3.14%,-0.28,14.53万,1.26亿,2.81%
4954,火星人,300894,12.32,-3.14%,-0.4,5.46万,6730.60万,3.22%
4955,锦泓集团,603518,8.31,-3.15%,-0.27,6.66万,5574.76万,4.55%
4956,超频三,300647,4.92,-3.15%,-0.16,7.88万,3908.69万,4.33%
4957,同大股份,300321,27.95,-3.15%,-0.91,8847,2501.31万,3.98%
4958,上海凯鑫,300899,18.12,-3.15%,-0.59,1.74万,3149.50万,4.06%
4959,创业慧康,300451,5.22,-3.15%,-0.17,42.55万,2.24亿,3.53%
4960,百合股份,603102,40.46,-3.16%,-1.32,1.55万,6267.69万,4.67%
4961,天孚通信,300394,68.02,-3.16%,-2.22,9.52万,6.52亿,3.12%
4962,尚荣医疗,002551,3.06,-3.16%,-0.1,8.18万,2520.02万,3.48%
4963,林州重机,002535,3.67,-3.17%,-0.12,14.29万,5293.50万,3.69%
4964,海马汽车,000572,3.67,-3.17%,-0.12,27.55万,1.02亿,4.75%
4965,利君股份,002651,6.42,-3.17%,-0.21,11.43万,7384.15万,2.87%
4966,国新健康,000503,10.08,-3.17%,-0.33,15.43万,1.56亿,4.23%
4967,振邦智能,003028,40.53,-3.18%,-1.33,9632,3938.03万,3.34%
4968,和科达,002816,10.66,-3.18%,-0.35,3.77万,4052.22万,4.90%
4969,三峡新材,600293,2.74,-3.18%,-0.09,9.98万,2759.12万,3.53%
4970,三元股份,600429,4.26,-3.18%,-0.14,9.48万,4078.85万,4.32%
4971,中路股份,600818,10.04,-3.18%,-0.33,2.64万,2682.08万,4.24%
4972,鲁抗医药,600789,10.04,-3.18%,-0.33,46.83万,4.71亿,3.28%
4973,秦川机床,000837,11.86,-3.18%,-0.39,28.83万,3.44亿,3.59%
4974,华信永道,837592,54.28,-3.19%,-1.79,6683,3661.57万,4.44%
4975,东方铁塔,002545,7.57,-3.20%,-0.25,13.93万,1.05亿,3.71%
4976,ST数源,000909,5.74,-3.20%,-0.19,3.42万,1986.32万,3.20%
