索引,股票名称,股票代码,当前价格,涨幅,涨跌额度,成交量（手）,成交额,振幅
1,新锦动力,300157,3.19,19.92%,0.53,50.82万,1.59亿,12.78%
2,深科达,688328,17.71,16.97%,2.57,9.29万,1.61亿,7.13%
3,弘景光电,301479,139.09,16.74%,19.94,3.69万,5.04亿,11.98%
4,肯特股份,301591,39.18,13.40%,4.63,7.46万,2.91亿,20.87%
5,殷图网联,835508,35.8,13.36%,4.22,2.87万,1.00亿,15.52%
6,创源股份,300703,16.2,13.29%,1.9,23.68万,3.58亿,19.86%
7,盛天网络,300494,11.96,12.09%,1.29,35.21万,4.05亿,12.93%
8,新莱福,301323,39.7,11.83%,4.2,4.05万,1.64亿,11.41%
9,新瀚新材,301076,34.14,11.82%,3.61,18.40万,6.05亿,17.43%
10,先进数通,300541,13.33,11.74%,1.4,58.69万,7.75亿,12.57%
11,联测科技,688113,31.19,10.21%,2.89,1.34万,4132.54万,4.49%
12,新能泰山,000720,3.15,10.14%,0.29,24.85万,7557.20万,8.39%
13,茂业商业,600828,4.79,10.11%,0.44,45.29万,2.16亿,5.06%
14,天娱数科,002354,6.56,10.07%,0.6,254.92万,15.78亿,10.40%
15,大位科技,600589,7,10.06%,0.64,168.24万,11.66亿,6.45%
16,普路通,002769,7.44,10.06%,0.68,14.19万,1.05亿,5.18%
17,绿康生化,002868,16.78,10.03%,1.53,4.36万,7313.78万,0.00%
18,狮头股份,600539,11.52,10.03%,1.05,5.86万,6613.65万,8.31%
19,三夫户外,002780,11.63,10.03%,1.06,12.24万,1.41亿,4.07%
20,恒润股份,603985,16.9,10.03%,1.54,17.60万,2.88亿,9.38%
21,大千生态,603955,22.83,10.02%,2.08,10.96万,2.42亿,8.34%
22,德生科技,002908,9.66,10.02%,0.88,42.16万,3.99亿,10.59%
23,金麒麟,603586,14.94,10.01%,1.36,1.72万,2565.35万,0.00%
24,掌阅科技,603533,20.77,10.01%,1.89,28.07万,5.71亿,11.23%
25,威尔药业,603351,30.69,10.00%,2.79,3.19万,9471.90万,8.57%
26,东贝集团,601956,7.48,10.00%,0.68,5.47万,4093.45万,0.00%
27,华电能源,600726,2.75,10.00%,0.25,288.39万,7.81亿,6.00%
28,四川金顶,600678,7.59,10.00%,0.69,39.56万,2.96亿,7.83%
29,天沃科技,002564,5.83,10.00%,0.53,94.64万,5.33亿,11.89%
30,中电鑫龙,002298,5.39,10.00%,0.49,32.85万,1.75亿,3.88%
31,中毅达,600610,9.92,9.98%,0.9,107.08万,10.26亿,12.75%
32,三峡水利,600116,7.61,9.97%,0.69,73.67万,5.56亿,2.75%
33,华电辽能,600396,3.31,9.97%,0.3,57.81万,1.91亿,2.66%
34,鸿博股份,002229,13.13,9.97%,1.19,7.45万,9777.78万,0.00%
35,永安药业,002365,13.03,9.96%,1.18,80.17万,10.12亿,12.15%
36,金财互联,002530,10.05,9.96%,0.91,32.31万,3.21亿,6.02%
37,金能科技,603113,6.09,9.93%,0.55,27.02万,1.63亿,5.05%
38,华阳新材,600281,3.66,9.91%,0.33,34.91万,1.25亿,6.31%
39,华银电力,600744,4.66,9.91%,0.42,15.39万,7169.73万,0.00%
40,京能电力,600578,4.22,9.90%,0.38,180.82万,7.53亿,4.95%
41,柏星龙,833075,29.91,9.52%,2.6,2.84万,8127.85万,16.33%
42,蕾奥规划,300989,17.08,9.00%,1.41,9.57万,1.61亿,8.68%
43,博瑞医药,688166,47.76,8.62%,3.79,6.78万,3.06亿,9.85%
44,蓝海华腾,300484,19.35,8.52%,1.52,14.51万,2.88亿,7.40%
45,珈伟新能,300317,3.75,8.38%,0.29,65.01万,2.47亿,10.98%
46,赛意信息,300687,31.89,8.10%,2.39,26.92万,8.29亿,8.71%
47,鹏欣资源,600490,5.13,8.00%,0.38,213.24万,11.04亿,4.21%
48,兄弟科技,002562,4.87,7.98%,0.36,160.84万,7.71亿,14.19%
49,珀莱雅,603605,91.45,7.96%,6.74,17.52万,15.66亿,7.20%
50,乐创技术,430425,26.86,7.87%,1.96,3.63万,9656.69万,6.14%
51,利和兴,301013,15.26,7.77%,1.1,17.15万,2.54亿,9.89%
52,威领股份,002667,13.46,7.77%,0.97,18.69万,2.53亿,3.52%
53,华胜天成,600410,8.58,7.65%,0.61,101.89万,8.64亿,5.65%
54,诺思兰德,430047,17.97,7.60%,1.27,7.64万,1.34亿,9.16%
55,万兴科技,300624,58.88,7.58%,4.15,10.90万,6.28亿,7.95%
56,神工股份,688233,27.2,7.55%,1.91,8.88万,2.39亿,8.42%
57,常辅股份,871396,34.81,7.50%,2.43,6.80万,2.43亿,13.06%
58,南方传媒,601900,16.97,7.47%,1.18,19.99万,3.38亿,7.98%
59,首钢股份,000959,3.74,7.47%,0.26,71.56万,2.65亿,9.48%
60,科华数据,002335,40.9,7.35%,2.8,27.96万,11.39亿,6.59%
61,跨境通,002640,4.24,7.34%,0.29,330.32万,14.07亿,6.33%
62,金风科技,002202,9,7.27%,0.61,85.02万,7.62亿,6.44%
63,步长制药,603858,16.15,7.24%,1.09,15.90万,2.56亿,3.19%
64,优博讯,300531,15.45,7.22%,1.04,31.39万,4.96亿,9.92%
65,易瑞生物,300942,8.84,7.02%,0.58,8.47万,7553.55万,8.35%
66,阳光电源,300274,62.95,7.02%,4.13,40.94万,25.67亿,2.18%
67,恒锋信息,300605,15.98,6.89%,1.03,14.62万,2.36亿,8.03%
68,养元饮品,603156,25.49,6.83%,1.63,6.66万,1.68亿,6.58%
69,雅博股份,002323,1.41,6.82%,0.09,106.74万,1.48亿,11.36%
70,长源电力,000966,5.99,6.77%,0.38,215.96万,12.64亿,10.87%
71,完美世界,002624,13.11,6.76%,0.83,60.00万,7.61亿,9.77%
72,星环科技-U,688031,48.59,6.74%,3.07,3.35万,1.60亿,6.79%
73,鸿智科技,870726,24.83,6.70%,1.56,2.11万,5116.80万,5.59%
74,鼎捷数智,300378,36.23,6.56%,2.23,12.93万,4.65亿,6.29%
75,康辰药业,603590,30.4,6.52%,1.86,3.00万,8919.35万,7.53%
76,上峰水泥,000672,8.98,6.40%,0.54,16.32万,1.43亿,7.11%
77,南山铝业,600219,3.69,6.34%,0.22,184.18万,6.75亿,3.46%
78,艾迪药业,688488,10.75,6.33%,0.64,8.20万,8679.96万,8.51%
79,华阳变速,839946,8.58,6.32%,0.51,5.75万,4810.48万,5.95%
80,共创草坪,605099,20.2,6.32%,1.2,1.93万,3920.48万,5.05%
81,南山铝业,600219,3.69,6.34%,0.22,184.26万,6.75亿,3.46%
82,联合化学,301209,73.38,6.19%,4.28,2.58万,1.85亿,8.65%
83,闽东电力,000993,11.55,6.16%,0.67,52.85万,5.92亿,14.43%
84,共创草坪,605099,20.17,6.16%,1.17,1.94万,3925.93万,5.05%
85,斯莱克,300382,13.12,6.15%,0.76,22.73万,2.92亿,8.58%
86,曼卡龙,300945,13,6.12%,0.75,23.59万,3.13亿,7.59%
87,并行科技,839493,169.03,6.11%,9.74,3.58万,6.04亿,9.10%
88,海南发展,002163,8.87,6.10%,0.51,46.98万,4.13亿,8.61%
89,高乐股份,002348,3.31,6.09%,0.19,32.73万,1.07亿,8.65%
90,三钢闽光,002110,4.04,6.04%,0.23,31.66万,1.27亿,8.66%
91,翱捷科技-U,688220,94.1,5.97%,5.3,4.88万,4.46亿,7.36%
92,重庆银行,601963,10.87,5.95%,0.61,15.15万,1.62亿,7.60%
93,派能科技,688063,39.76,5.94%,2.23,5.79万,2.25亿,5.36%
94,东方精工,002611,12.5,5.93%,0.7,84.37万,10.32亿,5.25%
95,蜂助手,301382,36.66,5.92%,2.05,12.57万,4.59亿,8.38%
96,宝钢股份,600019,7.03,5.87%,0.39,165.35万,11.48亿,5.72%
97,长盈通,688143,31.12,5.74%,1.69,1.68万,5094.13万,8.02%
98,宏景科技,301396,77.17,5.71%,4.17,8.95万,7.01亿,9.30%
99,天源环保,301127,15.74,5.71%,0.85,7.34万,1.13亿,5.24%
100,恺英网络,002517,17.11,5.68%,0.92,45.06万,7.56亿,6.92%
101,天源环保,301127,15.73,5.64%,0.84,7.34万,1.13亿,5.24%
102,太钢不锈,000825,3.59,5.59%,0.19,56.17万,2.00亿,3.53%
103,天和磁材,603072,49.3,5.57%,2.6,12.53万,6.11亿,9.12%
104,羚锐制药,600285,23.14,5.57%,1.22,9.76万,2.26亿,3.70%
105,荣昌生物,688331,54.95,5.55%,2.89,4.36万,2.31亿,11.68%
106,普源精电,688337,40.88,5.55%,2.15,2.62万,1.04亿,7.10%
107,*ST迪威,300167,4.01,5.53%,0.21,18.37万,7414.13万,8.16%
108,大参林,603233,17.77,5.52%,0.93,8.78万,1.56亿,5.88%
109,品高股份,688227,34.64,5.45%,1.79,7953,2683.62万,5.36%
110,杰华特,688141,34.63,5.42%,1.78,5.46万,1.84亿,6.03%
111,东方材料,603110,16.93,5.42%,0.87,19.61万,3.26亿,9.53%
112,实丰文化,002862,24.36,5.41%,1.25,4.88万,1.16亿,8.44%
113,福鞍股份,603315,12.8,5.35%,0.65,18.98万,2.45亿,9.47%
114,千方科技,002373,8.88,5.34%,0.45,31.78万,2.81亿,4.27%
115,集智股份,300553,50.55,5.33%,2.56,4.76万,2.36亿,9.09%
116,华立科技,301011,26.33,5.32%,1.33,6.00万,1.56亿,6.80%
117,杉杉股份,600884,6.98,5.28%,0.35,51.55万,3.60亿,4.37%
118,华纳药厂,688799,45.91,5.27%,2.3,3.58万,1.58亿,7.80%
119,中欣氟材,002915,17.66,5.24%,0.88,67.03万,11.56亿,14.72%
120,诺 普 信,002215,9.71,5.20%,0.48,39.49万,3.79亿,6.93%
121,诺 普 信,002215,9.71,5.20%,0.48,39.49万,3.79亿,6.93%
122,一心堂,002727,14.04,5.17%,0.69,14.24万,1.99亿,5.32%
123,ST凯文,002425,2.24,5.16%,0.11,26.80万,5946.66万,3.76%
124,*ST威帝,603023,3.29,5.11%,0.16,7.06万,2305.15万,3.83%
125,奥飞数据,300738,22.54,5.08%,1.09,68.16万,15.43亿,6.90%
126,信邦智能,301112,26.68,5.08%,1.29,3.15万,8286.38万,7.48%
127,芯源微,688037,100.24,5.07%,4.84,5.90万,5.85亿,4.04%
128,芯动联科,688582,67.75,5.07%,3.27,5.61万,3.78亿,3.44%
129,云图控股,002539,8.3,5.06%,0.4,26.06万,2.13亿,4.81%
130,ST升达,002259,3.12,5.05%,0.15,14.87万,4531.27万,7.41%
131,*ST交投,002200,7.08,5.04%,0.34,3873,274.22万,0.00%
132,ST证通,002197,4.79,5.04%,0.23,20.40万,9727.10万,1.75%
133,ST宇顺,002289,8.58,5.02%,0.41,5.46万,4678.16万,2.45%
134,*ST铖昌,001270,34.36,5.01%,1.64,5.23万,1.78亿,4.37%
135,*ST信通,600289,6.08,5.01%,0.29,7.96万,4752.65万,5.70%
136,伟测科技,688372,79.9,4.99%,3.8,2.35万,1.84亿,6.20%
137,ST联合,600358,4.21,4.99%,0.2,12.88万,5392.30万,4.24%
138,博彦科技,002649,12.69,4.96%,0.6,22.30万,2.84亿,4.22%
139,ST八菱,002592,5.29,4.96%,0.25,7483,395.85万,0.00%
140,康隆达,603665,19.05,4.96%,0.9,1.89万,3577.77万,6.78%
141,康隆达,603665,19.05,4.96%,0.9,1.89万,3577.77万,6.78%
142,意华股份,002897,40.93,4.95%,1.93,10.38万,4.26亿,8.33%
143,百龙创园,605016,20.84,4.93%,0.98,9.40万,1.94亿,6.95%
144,挖金客,301380,43.39,4.93%,2.04,2.39万,1.04亿,4.50%
145,力源科技,688565,7.25,4.92%,0.34,6.14万,4535.47万,8.25%
146,松芝股份,002454,6.84,4.91%,0.32,13.46万,9236.66万,2.91%
147,博彦科技,002649,12.68,4.88%,0.59,22.30万,2.84亿,4.22%
148,骄成超声,688392,52.07,4.87%,2.42,1.61万,8122.78万,7.43%
149,富恒新材,832469,14.69,4.85%,0.68,10.94万,1.56亿,15.49%
150,雅达股份,430556,10.81,4.85%,0.5,4.49万,4782.64万,5.63%
151,久盛电气,301082,14.55,4.83%,0.67,18.13万,2.71亿,6.34%
152,恒玄科技,688608,400.88,4.82%,18.43,8576,3.33亿,5.69%
153,绿色动力,601330,7.44,4.79%,0.34,22.75万,1.65亿,4.37%
154,晶丰明源,688368,105.31,4.79%,4.81,1.09万,1.12亿,6.95%
155,国力股份,688103,50.4,4.78%,2.3,1.48万,7368.27万,6.24%
156,群兴玩具,002575,9.47,4.76%,0.43,27.37万,2.56亿,6.64%
157,美畅股份,300861,18.08,4.75%,0.82,4.86万,8661.73万,6.20%
158,果麦文化,301052,33.75,4.75%,1.53,7.90万,2.62亿,5.03%
159,中研股份,688716,39.08,4.74%,1.77,9.08万,3.54亿,9.65%
160,上海物贸,600822,11.04,4.74%,0.5,39.96万,4.38亿,6.26%
161,益方生物-U,688382,22.6,4.73%,1.02,9.71万,2.09亿,12.19%
162,华纳药厂,688799,45.67,4.72%,2.06,3.58万,1.58亿,7.80%
163,民生健康,301507,13.24,4.66%,0.59,7.48万,9860.92万,6.64%
164,绿色动力,601330,7.43,4.65%,0.33,22.76万,1.66亿,4.37%
165,杭钢股份,600126,11.27,4.64%,0.5,196.49万,22.35亿,6.22%
166,南京聚隆,300644,24.82,4.64%,1.1,8.96万,2.23亿,10.67%
167,安琪酵母,600298,35.25,4.63%,1.56,9.53万,3.36亿,3.89%
168,盟升电子,688311,38,4.63%,1.68,2.64万,9897.77万,7.02%
169,江苏金租,600901,5.45,4.61%,0.24,65.23万,3.54亿,4.99%
170,赛诺医疗,688108,9.84,4.57%,0.43,9.19万,9144.16万,6.06%
171,内蒙新华,603230,12.85,4.56%,0.56,7.21万,9228.14万,4.07%
172,泰嘉股份,002843,24.47,4.53%,1.06,18.72万,4.61亿,7.48%
173,昆仑万维,300418,31.43,4.52%,1.36,30.21万,9.43亿,4.26%
174,三川智慧,300066,3.96,4.49%,0.17,27.77万,1.10亿,3.96%
175,汉朔科技,301275,55.74,4.48%,2.39,1.64万,8809.87万,5.98%
176,罗莱生活,002293,9.37,4.46%,0.4,19.63万,1.78亿,7.13%
177,游族网络,002174,9.38,4.45%,0.4,17.85万,1.68亿,4.90%
178,新赛股份,600540,4.47,4.44%,0.19,51.10万,2.30亿,5.61%
179,广晟有色,600259,36.08,4.43%,1.53,6.51万,2.32亿,4.80%
180,回天新材,300041,8.28,4.41%,0.35,15.06万,1.24亿,3.15%
181,回天新材,300041,8.28,4.41%,0.35,15.06万,1.24亿,3.15%
182,ST张家界,000430,7.12,4.40%,0.3,23.85万,1.67亿,6.30%
183,华正新材,603186,26.82,4.40%,1.13,6.89万,1.81亿,6.19%
184,汉得信息,300170,19,4.40%,0.8,65.46万,12.27亿,4.12%
185,圣诺生物,688117,30.17,4.36%,1.26,5.63万,1.69亿,6.61%
186,梦百合,603313,7,4.32%,0.29,16.60万,1.16亿,5.66%
187,圣元环保,300867,16.28,4.29%,0.67,17.40万,2.82亿,7.30%
188,西昌电力,600505,19.85,4.25%,0.81,67.37万,13.57亿,8.72%
189,联盛化学,301212,24.62,4.23%,1,3.65万,8874.93万,13.51%
190,泛微网络,603039,69.13,4.22%,2.8,2.38万,1.63亿,3.75%
191,重庆港,600279,5.93,4.22%,0.24,41.18万,2.40亿,9.14%
192,当虹科技,688039,33.13,4.18%,1.33,2.10万,6781.54万,6.26%
193,河化股份,000953,6.49,4.17%,0.26,43.22万,2.65亿,11.88%
194,长联科技,301618,86.99,4.14%,3.46,1.58万,1.35亿,7.60%
195,一品红,300723,39.48,4.14%,1.57,12.16万,4.54亿,13.64%
196,拓维信息,002261,31.68,4.11%,1.25,198.97万,62.89亿,4.04%
197,泰瑞机器,603289,8.62,4.11%,0.34,7.63万,6537.85万,4.23%
198,格力电器,000651,47.07,4.09%,1.85,54.97万,25.80亿,2.32%
199,四方光电,688665,39.5,4.08%,1.55,1.73万,6696.03万,6.03%
200,光环新网,300383,13.86,4.05%,0.54,61.93万,8.54亿,4.50%
201,格力电器,000651,47.06,4.07%,1.84,54.97万,25.80亿,2.32%
202,奥赛康,002755,19.29,4.05%,0.75,6.32万,1.19亿,9.60%
203,骏亚科技,603386,10.09,4.02%,0.39,10.97万,1.13亿,3.92%
204,英联股份,002846,9.32,4.02%,0.36,9.24万,8451.04万,5.47%
205,纳芯微,688052,192.32,4.01%,7.42,2.08万,3.95亿,4.50%
206,豫光金铅,600531,7.02,4.00%,0.27,34.24万,2.41亿,3.26%
207,ST通葡,600365,3.12,4.00%,0.12,11.98万,3745.44万,3.33%
208,光环新网,300383,13.85,3.98%,0.53,61.93万,8.54亿,4.50%
209,旭光电子,600353,8.45,3.94%,0.32,38.24万,3.24亿,4.43%
210,ST天瑞,300165,3.17,3.93%,0.12,7.59万,2388.73万,2.95%
211,清溢光电,688138,27.38,3.91%,1.03,2.57万,6931.60万,4.93%
212,世华科技,688093,26.95,3.89%,1.01,3.43万,9088.56万,3.78%
213,友发集团,601686,5.61,3.89%,0.21,6.13万,3429.79万,4.26%
214,实朴检测,301228,25.39,3.89%,0.95,2.68万,6668.88万,5.85%
215,太湖雪,838262,29.79,3.87%,1.11,1.89万,5590.18万,5.16%
216,华东重机,002685,7,3.86%,0.26,46.03万,3.26亿,6.23%
217,视觉中国,000681,19.98,3.85%,0.74,38.47万,7.56亿,5.09%
218,吉比特,603444,235.28,3.84%,8.7,1.15万,2.64亿,4.76%
219,华锦股份,000059,5.42,3.83%,0.2,23.77万,1.27亿,6.70%
220,龙溪股份,600592,19.81,3.83%,0.73,26.50万,5.23亿,5.29%
221,智明达,688636,40.97,3.80%,1.5,1.41万,5714.30万,4.81%
222,税友股份,603171,44.4,3.79%,1.62,4.37万,1.92亿,4.89%
223,电魂网络,603258,20.67,3.77%,0.75,5.89万,1.20亿,6.48%
224,福达股份,603166,15.49,3.75%,0.56,21.60万,3.28亿,5.29%
225,万和电气,002543,10.54,3.74%,0.38,4.84万,5077.27万,2.07%
226,ST加加,002650,5.28,3.73%,0.19,5.09万,2676.28万,3.34%
227,胜通能源,001331,15.01,3.73%,0.54,12.53万,1.89亿,4.49%
228,中兰环保,300854,13.64,3.73%,0.49,3.39万,4612.65万,4.49%
229,中望软件,688083,91.9,3.72%,3.3,1.39万,1.27亿,4.04%
230,古井贡酒,000596,173.31,3.71%,6.2,2.74万,4.73亿,2.85%
231,凯添燃气,831010,13.18,3.70%,0.47,6.32万,8359.45万,6.61%
232,易德龙,603380,22.72,3.70%,0.81,3.31万,7553.47万,5.20%
233,巨人网络,002558,14.33,3.69%,0.51,22.56万,3.20亿,5.14%
234,正和生态,605069,9.01,3.68%,0.32,10.48万,9500.20万,3.91%
235,瑞奇智造,833781,11.62,3.66%,0.41,7.14万,8530.37万,7.58%
236,华丽家族,600503,2.56,3.64%,0.09,60.75万,1.56亿,3.64%
237,众望布艺,605003,20.78,3.64%,0.73,1.46万,3009.30万,5.84%
238,聚辰股份,688123,70.98,3.62%,2.48,3.71万,2.64亿,3.74%
239,浔兴股份,002098,10.6,3.62%,0.37,58.54万,6.40亿,8.21%
240,隧道股份,600820,6.31,3.61%,0.22,32.33万,2.03亿,4.60%
241,浔兴股份,002098,10.6,3.62%,0.37,58.54万,6.40亿,8.21%
242,方邦股份,688020,31.03,3.61%,1.08,6639,2055.51万,5.61%
243,天龙股份,603266,20.31,3.57%,0.7,9.20万,1.84亿,5.81%
244,思看科技,688583,107.31,3.49%,3.62,7552,8082.49万,7.72%
245,融发核电,002366,5.04,3.49%,0.17,138.78万,7.19亿,7.39%
246,冠城新材,600067,2.38,3.48%,0.08,24.87万,5961.93万,6.09%
247,*ST中润,000506,7.14,3.48%,0.24,26.31万,1.86亿,4.78%
248,成都先导,688222,14.65,3.46%,0.49,7.84万,1.14亿,6.57%
249,九菱科技,873305,35.93,3.46%,1.2,1.78万,6335.40万,4.72%
250,凌云股份,600480,16.47,3.45%,0.55,18.38万,3.01亿,6.78%
251,卓易信息,688258,45.3,3.45%,1.51,2.83万,1.28亿,4.38%
252,柳钢股份,601003,3,3.45%,0.1,12.97万,3885.08万,5.17%
253,隧道股份,600820,6.3,3.45%,0.21,32.35万,2.03亿,4.60%
254,大洋电机,002249,6.6,3.45%,0.22,87.99万,5.88亿,3.45%
255,博睿数据,688229,48.1,3.44%,1.6,7230,3410.13万,5.29%
256,君实生物-U,688180,30.46,3.43%,1.01,6.25万,1.89亿,6.01%
257,生 意 宝,002095,20.54,3.42%,0.68,32.80万,6.71亿,7.30%
258,苏州科达,603660,6.66,3.42%,0.22,21.35万,1.44亿,9.32%
259,润禾材料,300727,37.47,3.39%,1.23,2.74万,1.02亿,5.96%
260,大连热电,600719,7.01,3.39%,0.23,33.48万,2.36亿,6.19%
261,君实生物-U,688180,30.44,3.36%,0.99,6.25万,1.89亿,6.01%
262,赣粤高速,600269,5.23,3.36%,0.17,19.66万,1.02亿,3.16%
263,崇德科技,301548,47.52,3.35%,1.54,1.94万,9258.36万,3.65%
264,富春股份,300299,5.88,3.34%,0.19,27.76万,1.60亿,5.98%
265,卓越新能,688196,41.86,3.33%,1.35,6776,2784.43万,5.06%
266,星辉娱乐,300043,3.42,3.32%,0.11,37.36万,1.26亿,5.44%
267,东百集团,600693,6.54,3.32%,0.21,48.88万,3.22亿,3.63%
268,ST德豪,002005,1.87,3.31%,0.06,8.27万,1530.02万,3.31%
269,上海电影,601595,30.27,3.31%,0.97,3.89万,1.15亿,4.81%
270,海泰新光,688677,35.02,3.30%,1.12,1.49万,5126.83万,4.96%
271,天桥起重,002523,3.44,3.30%,0.11,35.82万,1.24亿,4.20%
272,捷昌驱动,603583,40,3.28%,1.27,14.49万,5.84亿,4.13%
273,浙数文化,600633,13.55,3.28%,0.43,29.88万,4.00亿,4.34%
274,唐源电气,300789,26.53,3.27%,0.84,2.24万,5867.09万,4.63%
275,川润股份,002272,9.16,3.27%,0.29,29.17万,2.69亿,6.76%
276,内蒙一机,600967,11.39,3.26%,0.36,23.29万,2.67亿,3.54%
277,*ST长药,300391,5.09,3.25%,0.16,9.55万,4885.24万,5.88%
278,智微智能,001339,48.99,3.22%,1.53,5.48万,2.66亿,3.37%
279,潜能恒信,300191,15.69,3.22%,0.49,8.21万,1.30亿,8.95%
280,百济神州-U,688235,246.7,3.22%,7.7,1.47万,3.49亿,7.82%
281,智微智能,001339,48.99,3.22%,1.53,5.48万,2.66亿,3.37%
282,潜能恒信,300191,15.69,3.22%,0.49,8.21万,1.30亿,8.95%
283,百济神州-U,688235,246.7,3.22%,7.7,1.47万,3.49亿,7.82%
284,阿拉丁,688179,16.71,3.21%,0.52,4.22万,6866.96万,6.30%
285,耐普矿机,300818,20.89,3.21%,0.65,7.67万,1.58亿,10.13%
286,光大同创,301387,31.82,3.21%,0.99,1.75万,5480.14万,5.51%
287,华菱钢铁,000932,5.15,3.21%,0.16,45.89万,2.36亿,4.61%
288,灿能电力,870299,22.99,3.19%,0.71,10.05万,2.26亿,14.27%
289,大连友谊,000679,6.2,3.16%,0.19,6.01万,3679.81万,3.83%
290,弘宇股份,002890,11.79,3.15%,0.36,4.39万,5131.17万,5.42%
291,百邦科技,300736,8.56,3.13%,0.26,4.42万,3736.93万,5.18%
292,城地香江,603887,18.45,3.13%,0.56,24.32万,4.49亿,5.70%
293,广脉科技,838924,29.06,3.12%,0.88,2.61万,7616.95万,6.03%
294,*ST通脉,603559,8.62,3.11%,0.26,1.83万,1571.83万,5.62%
295,朗鸿科技,836395,18.25,3.11%,0.55,8585,1550.69万,5.25%
296,赛福天,603028,6.64,3.11%,0.2,31.12万,2.03亿,6.52%
297,富祥药业,300497,8.64,3.10%,0.26,7.15万,6065.86万,5.85%
298,奥普特,688686,91.24,3.10%,2.74,5409,4868.31万,4.58%
299,双一科技,300690,23.29,3.05%,0.69,8.48万,1.96亿,6.55%
300,天迈科技,300807,36.17,3.05%,1.07,1.20万,4330.31万,3.48%
301,天迈科技,300807,36.17,3.05%,1.07,1.20万,4330.31万,3.48%
302,科创新源,300731,23.19,3.02%,0.68,2.90万,6625.33万,3.42%
303,五洋自控,300420,3.08,3.01%,0.09,28.06万,8600.92万,4.68%
304,三人行,605168,27.15,3.00%,0.79,3.12万,8522.17万,4.36%
305,新时达,002527,13.09,2.99%,0.38,26.13万,3.46亿,6.77%
306,华康洁净,301235,23.11,2.99%,0.67,8.49万,1.98亿,12.03%
307,球冠电缆,834682,13.19,2.97%,0.38,6.48万,8582.29万,3.59%
308,中瓷电子,003031,47.27,2.96%,1.36,1.51万,7041.07万,3.51%
309,盛德鑫泰,300881,30.12,2.94%,0.86,2.31万,6935.81万,5.81%
310,长海股份,300196,11.25,2.93%,0.32,6.41万,7197.62万,4.67%
311,克莱特,831689,39.81,2.92%,1.13,2.61万,1.06亿,5.46%
312,中国稀土,000831,31.72,2.92%,0.9,16.75万,5.27亿,2.14%
313,华峰测控,688200,150.5,2.91%,4.25,7578,1.12亿,4.16%
314,芯碁微装,688630,74.9,2.90%,2.11,2.25万,1.66亿,4.92%
315,迅捷兴,688655,12.43,2.90%,0.35,3.48万,4306.94万,5.63%
316,赞宇科技,002637,9.6,2.89%,0.27,5.04万,4762.82万,5.36%
317,瑞可达,688800,47.71,2.89%,1.34,3.33万,1.60亿,5.93%
318,建研设计,301167,13.54,2.89%,0.38,3.25万,4430.86万,3.50%
319,国光电气,688776,81.6,2.89%,2.29,2.70万,2.20亿,5.14%
320,万通液压,830839,33,2.87%,0.92,1.71万,5693.56万,7.08%
321,国光电气,688776,81.6,2.89%,2.29,2.70万,2.20亿,5.14%
322,东方中科,002819,25.12,2.87%,0.7,2.70万,6746.91万,4.42%
323,恒信东方,300081,5.78,2.85%,0.16,17.06万,9779.58万,5.34%
324,*ST传智,003032,5.06,2.85%,0.14,28.77万,1.44亿,5.08%
325,瀛通通讯,002861,12.65,2.85%,0.35,11.73万,1.48亿,9.92%
326,热景生物,688068,131,2.84%,3.62,1.32万,1.67亿,6.73%
327,万通液压,830839,32.99,2.84%,0.91,1.71万,5693.89万,7.08%
328,好上好,001298,27.58,2.83%,0.76,15.05万,4.08亿,6.11%
329,中国广核,003816,3.63,2.83%,0.1,252.31万,9.14亿,2.83%
330,新相微,688593,16.34,2.83%,0.45,2.25万,3655.64万,3.46%
331,菲利华,300395,48.45,2.82%,1.33,4.36万,2.12亿,4.54%
332,康弘药业,002773,28.12,2.82%,0.77,7.82万,2.16亿,6.58%
333,芯碁微装,688630,74.83,2.80%,2.04,2.25万,1.66亿,4.92%
334,朗科科技,300042,24.63,2.80%,0.67,9.47万,2.34亿,4.67%
335,明阳智能,601615,10.68,2.79%,0.29,28.46万,3.04亿,4.81%
336,虹软科技,688088,43.83,2.79%,1.19,2.98万,1.29亿,3.68%
337,宏盛股份,603090,25.21,2.77%,0.68,2.57万,6532.00万,7.05%
338,寒武纪-U,688256,709,2.76%,19.04,2.80万,19.60亿,4.87%
339,奥瑞德,600666,2.61,2.76%,0.07,67.07万,1.78亿,9.45%
340,鱼跃医疗,002223,34.12,2.74%,0.91,8.39万,2.87亿,4.00%
341,四方精创,300468,20.29,2.73%,0.54,51.43万,10.55亿,5.77%
342,普联软件,300996,22.96,2.73%,0.61,5.39万,1.23亿,3.62%
343,ST中装,002822,3.39,2.73%,0.09,3.42万,1138.80万,6.97%
344,乐通股份,002319,9.04,2.73%,0.24,4.21万,3831.03万,5.57%
345,*ST合泰,002217,2.26,2.73%,0.06,30.69万,6900.14万,4.09%
346,豆神教育,300010,7.16,2.73%,0.19,40.97万,2.90亿,4.45%
347,恒而达,300946,32.04,2.73%,0.85,3.30万,1.08亿,8.27%
348,天箭科技,002977,29.08,2.72%,0.77,2.91万,8329.10万,5.55%
349,宏盛股份,603090,25.19,2.69%,0.66,2.57万,6533.26万,7.05%
350,宁波华翔,002048,14.53,2.69%,0.38,13.84万,2.00亿,3.32%
